GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS502142005	2017-05-28 08:52:26	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Noquemanon South Trails	L4657240	H	46.5138342	-87.4123456	2017-05-19	18:22:00	obsr539628	S36997107	Traveling	P22	EBIRD	65	3.219		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS502857766	2021-03-19 09:49:50.883448	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Gwinn Sewage Ponds	L1164477	H	46.2675962	-87.4394989	2017-05-21	11:01:00	obsr215388	S37037948	Traveling	P22	EBIRD	144	0.483		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505236148	2018-08-05 15:38:14	33215	species	Canada Warbler	Cardellina canadensis			2					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle	L633305	P	46.5870636	-87.3825073	2017-05-27	10:03:00	obsr97697	S37188667	Traveling	P22	EBIRD	60	0.805		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS506798849	2020-10-18 14:08:11	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888959	H	46.5857658	-87.3825073	2017-05-31	13:00:00	obsr106380	S37294450	Traveling	P22	EBIRD	60	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505318646	2018-08-05 15:38:19	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888959	H	46.5857658	-87.3825073	2017-05-27	19:30:00	obsr847031	S37193954	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS504322051	2020-10-18 14:08:10	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888959	H	46.5857658	-87.3825073	2017-05-24	17:09:00	obsr215388	S37127282	Traveling	P22	EBIRD	177	0.966		2	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1271152122	2021-11-04 20:32:25.219653	33215	species	Canada Warbler	Cardellina canadensis			X					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888959	H	46.5857658	-87.3825073	2017-05-26		obsr956013	S97135140	Historical	P62	EBIRD				1	0		0	1	0			Bog walk.	
URN:CornellLabOfOrnithology:EBIRD:OBS505091041	2018-08-06 20:14:41	33215	species	Canada Warbler	Cardellina canadensis			3	S 	C2	S 		United States	US	Michigan	US-MI	Marquette	US-MI-103		12			North of Feather Ridge Subdivision	L2581746	P	46.4744295	-87.4275255	2017-05-27	10:40:00	obsr215388	S37180058	Traveling	P22	EBIRD	50	3.219		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505636005	2021-03-19 09:49:50.883448	33215	species	Canada Warbler	Cardellina canadensis			2					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888959	H	46.5857658	-87.3825073	2017-05-28	14:23:00	obsr240424	S37213973	Traveling	P22	EBIRD	98	0.483		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS501654099	2021-03-19 09:49:50.883448	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888959	H	46.5857658	-87.3825073	2017-05-18	15:00:00	obsr408665	S36968135	Traveling	P22	EBIRD	210	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505317266	2021-03-19 09:49:50.883448	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888959	H	46.5857658	-87.3825073	2017-05-27	19:31:00	obsr240917	S37193868	Traveling	P22	EBIRD	56	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS503764655	2018-08-05 15:36:50	33215	species	Canada Warbler	Cardellina canadensis			2					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			US-MI-Lake Superior - 46.8900x-87.8685 - May 18, 2017, 9:28 PM	L5876368	P	46.8899760	-87.8685020	2017-05-19	09:45:00	obsr333708	S37092142	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS508418620	2020-12-12 11:49:25.543089	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			County Rd. 438	L5937094	H	46.1872383	-87.5358629	2017-06-05	09:20:00	obsr209179	S37406149	Traveling	P22	EBIRD	19	7.081		2	1	G2470360	0	1	0		CO RD 438 from Co Rd 557 west to Kate's Grade		
URN:CornellLabOfOrnithology:EBIRD:OBS510064428	2020-12-12 11:51:36.638699	33215	species	Canada Warbler	Cardellina canadensis			3					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Kate's Grade	L1110707	H	46.1851119	-87.5687599	2017-06-10	07:17:00	obsr215388	S37517104	Traveling	P22	EBIRD	362	17.703		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS509940723	2020-12-12 11:51:36.619468	33215	species	Canada Warbler	Cardellina canadensis			4					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Kate's Grade	L1110707	H	46.1851119	-87.5687599	2017-06-10	07:20:00	obsr106380	S37508488	Traveling	P22	EBIRD	360	16.093		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS508419190	2018-08-06 20:15:17	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Kate's Grade	L3742290	P	46.1849780	-87.5683300	2017-06-05	11:20:00	obsr209179	S37406189	Traveling	P22	EBIRD	46	4.828		2	1	G2470366	0	1	0		Upper Kate's Grade- on grade from Co Rd 438 north to county line. 		
URN:CornellLabOfOrnithology:EBIRD:OBS508422771	2018-08-06 20:15:17	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Kate's Grade	L3742290	P	46.1849780	-87.5683300	2017-06-05	11:20:00	obsr216351	S37406423	Traveling	P22	EBIRD	46	4.828		2	1	G2470366	0	1	0		Upper Kate's Grade- on grade from Co Rd 438 north to county line. 		
URN:CornellLabOfOrnithology:EBIRD:OBS513548088	2018-08-06 20:15:53	33215	species	Canada Warbler	Cardellina canadensis			1	CF	C4	CF		United States	US	Michigan	US-MI	Marquette	US-MI-103		12			North of Feather Ridge Subdivision	L2581746	P	46.4744295	-87.4275255	2017-06-24	09:33:00	obsr215388	S37773280	Traveling	P22	EBIRD	110	3.219		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS508566245	2018-08-06 20:15:16	33215	species	Canada Warbler	Cardellina canadensis			10					United States	US	Michigan	US-MI	Marquette	US-MI-103	US-MI_3908	12			Peshekee Grade	L385151	H	46.6560207	-88.0574236	2017-06-05	07:10:00	obsr308806	S37416732	Traveling	P22	EBIRD	378	16.093		2	1	G2471269	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS508102039	2021-03-19 09:49:50.883448	33215	species	Canada Warbler	Cardellina canadensis			1				Female, Adult (1)	United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888959	H	46.5857658	-87.3825073	2017-06-04	15:26:00	obsr215388	S37384146	Traveling	P22	EBIRD	80	0.483		1	1		1	1	0				
