GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS325704207	2021-03-24 15:28:30.175918	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Otis Sanctuary	L492835	H	42.6020306	-85.3864610	2015-06-06	11:45:00	obsr549030	S23823076	Traveling	P22	EBIRD	90	0.805		4	1	G1306980	0	1	0			Seen at 1pm for approx 20 minutes, by group of 7, pictures taken	
URN:CornellLabOfOrnithology:EBIRD:OBS324948002	2015-06-04 09:16:12	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Barry	US-MI-015		23			US-MI-Battle Creek-13898-14298 Manning Lake Rd	L3695175	P	42.4442500	-85.3080750	2015-06-03	21:28:00	obsr396909	S23772224	Traveling	P22	EBIRD	20	0.402		2	1	G1302607	0	1	0		<br />Submitted from BirdLog NA for iOS, version 1.8		
URN:CornellLabOfOrnithology:EBIRD:OBS325869310	2021-03-24 15:28:30.175918	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Otis Sanctuary	L492835	H	42.6020306	-85.3864610	2015-06-06	11:45:00	obsr534835	S23834439	Traveling	P22	EBIRD	90	0.805		4	1	G1306980	0	1	0		Gail Shetler, Karen Harbach, Janine Hawkinson, sunny	Seen at 1pm for approx 20 minutes, by group of 7, pictures taken	
URN:CornellLabOfOrnithology:EBIRD:OBS328838023	2015-06-25 18:13:12	32181	species	Henslow's Sparrow	Centronyx henslowii			2	S 	C2	S 		United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G32	L3750374	P	42.5331942	-85.2769803	2015-06-25	09:14:00	obsr622633	S24051915	Stationary	P21	EBIRD	15			2	1		0	1	0			Distinct "tsi-LICK" songs heard within 50-meter radius	
URN:CornellLabOfOrnithology:EBIRD:OBS325566495	2015-06-07 13:56:48	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Cloverdale and Broadway Rds. grassland	L1138577	H	42.5352477	-85.2743340	2015-06-07	07:50:00	obsr500310	S23813746	Stationary	P21	EBIRD	10			2	1	G1306183	0	1	0			Heard only.	
URN:CornellLabOfOrnithology:EBIRD:OBS325264477	2016-10-21 14:39:30	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Otis Sanctuary	L492835	H	42.6020306	-85.3864610	2015-06-05	15:40:00	obsr359041	S23794713	Traveling	P22	EBIRD	60	1.931		2	1		0	1	0		Cerulean Festival		
URN:CornellLabOfOrnithology:EBIRD:OBS324819800	2015-06-03 14:56:03	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Pierce Cedar Creek 2015 Grassland Bird Research Site H9	L3694239	P	42.6005740	-85.3897065	2015-06-02	06:06:00	obsr622633	S23762903	Stationary	P21	EBIRD	15			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS324760875	2021-08-06 10:41:21.594316	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Otis Sanctuary	L492835	H	42.6020306	-85.3864610	2015-06-03	06:49:00	obsr302498	S23758813	Stationary	P21	EBIRD	60			1	1		0	1	0		<br />Submitted from BirdLog NA for iOS, version 1.8		
URN:CornellLabOfOrnithology:EBIRD:OBS510055655	2020-06-01 20:23:39	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Otis Sanctuary	L492835	H	42.6020306	-85.3864610	2015-06-06	06:00:00	obsr633752	S37516501	Historical	P62	EBIRD	60	3.000	0.8094	10	0		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS343520981	2015-09-21 09:06:44	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Cloverdale and Broadway Rds. grassland	L1138577	H	42.5352477	-85.2743340	2015-06-05	07:30:00	obsr418983	S25116718	Stationary	P21	EBIRD	30			1	1		0	1	0				
