GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS414206522	2021-03-26 03:04:12.593349	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-06-26	10:05:00	obsr19409	S30397754	Stationary	P21	EBIRD	15			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS428065616	2016-09-06 11:32:35	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			PCCI 2016 GBRS K5	L4905862	P	42.8709200	-85.5194200	2016-06-17	07:18:00	obsr622633	S31450038	Stationary	P21	EBIRD	15			1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS411102638	2021-03-19 09:06:19.102151	31855	species	Grasshopper Sparrow	Ammodramus savannarum			3					United States	US	Michigan	US-MI	Kent	US-MI-081		23			60th GRR	L2911558	P	42.8575319	-85.5147457	2016-06-10	06:15:00	obsr243663	S30167654	Traveling	P22	EBIRD	300	1.609		1	1	G1813550	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS409513456	2017-08-16 19:46:02	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1	S 	C2	S 		United States	US	Michigan	US-MI	Kent	US-MI-081		23			60th GRR	L2911558	P	42.8575319	-85.5147457	2016-06-03	06:05:00	obsr243663	S30058517	Traveling	P22	EBIRD	445	4.023		6	1		0	1	0		PCCI Research. These are birds seen in my point counts and in between. Numbers much greater if you include other field techs point counts.		
URN:CornellLabOfOrnithology:EBIRD:OBS428065290	2016-09-06 11:30:41	31855	species	Grasshopper Sparrow	Ammodramus savannarum			2					United States	US	Michigan	US-MI	Kent	US-MI-081		23			PCCI 2016 GBRS K4	L4905857	P	42.8709400	-85.5206500	2016-06-10	06:57:00	obsr622633	S31450010	Stationary	P21	EBIRD	15			1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS427632278	2016-09-04 18:26:45	31855	species	Grasshopper Sparrow	Ammodramus savannarum			2					United States	US	Michigan	US-MI	Kent	US-MI-081		23			PCCI 2016 GBRS J43	L4901501	P	42.8640100	-85.5165600	2016-06-10	07:18:00	obsr622633	S31420375	Stationary	P21	EBIRD	15			1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS428068389	2016-09-06 11:45:29	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			PCCI 2016 GBRS K13	L4905900	P	42.8745300	-85.5198400	2016-06-17	06:57:00	obsr622633	S31450233	Stationary	P21	EBIRD	15			1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS410906473	2021-03-26 03:04:12.593349	31855	species	Grasshopper Sparrow	Ammodramus savannarum			2					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-06-09	18:04:00	obsr19409	S30153743	Stationary	P21	EBIRD	26			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS427638751	2016-09-04 18:54:20	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			PCCI 2016 GBRS J50	L4901607	P	42.8658300	-85.5177400	2016-06-03	06:21:00	obsr622633	S31420868	Stationary	P21	EBIRD	15			1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS413978600	2017-05-30 05:34:51	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-06-23	08:36:00	obsr228940	S30380458	Stationary	P21	EBIRD	11			1	1		0	1	0		<br />Submitted from eBird Android 1.2.3		
URN:CornellLabOfOrnithology:EBIRD:OBS428069712	2016-09-06 11:52:16	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			PCCI 2016 GBRS K18	L4905922	P	42.8754400	-85.5205400	2016-06-03	06:52:00	obsr622633	S31450321	Stationary	P21	EBIRD	15			1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS428084565	2016-09-06 13:07:24	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			PCCI 2016 GBRS K22	L4906081	P	42.8763700	-85.5229600	2016-06-17	06:14:00	obsr622633	S31451301	Stationary	P21	EBIRD	15			1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS428084857	2016-09-06 13:09:18	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			PCCI 2016 GBRS K23	L4906085	P	42.8763500	-85.5217400	2016-06-10	06:47:00	obsr622633	S31451321	Stationary	P21	EBIRD	15			1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS428064718	2016-09-06 11:27:47	31855	species	Grasshopper Sparrow	Ammodramus savannarum			2					United States	US	Michigan	US-MI	Kent	US-MI-081		23			PCCI 2016 GBRS K2	L4905845	P	42.8700200	-85.5194500	2016-06-03	07:59:00	obsr622633	S31449974	Stationary	P21	EBIRD	15			1	0		0	1	0				
